accelX,accelY,accelZ,gyroX,gyroY,gyroZ
1.2469,-1.0828943,11.740534,-1.6077118,-0.75135803,-1.0433197
-0.21085191,-4.534067,10.448212,-2.662857,-0.84562683,-1.7991333
-1.9824078,-6.0840764,14.2593975,-1.7360687,1.1384277,-1.9988708
0.65996146,0.076796174,13.516605,-0.7560272,0.89660645,-1.7501221
0.2988932,0.21678078,11.459045,-0.23777771,-1.2413788,-2.0675812
-1.3989127,-0.9657592,5.288502,-0.18717957,-3.2078552,-1.667038
-2.599904,-3.3921857,2.6394503,0.23626709,-2.123413,-0.8286743
-1.891094,-4.527265,1.9746156,0.7103119,-0.76786804,-0.17086792
1.6017617,-3.707677,4.1889186,1.1800842,0.3410797,1.1900024
13.348063,1.4039032,16.055336,0.50897217,-1.3708038,0.8224945
8.557566,0.95341015,10.536913,-0.50994873,0.91311646,-0.9868622
-0.60140514,-2.77237,9.620459,-0.22073364,0.40979004,0.052841187
2.1624522,-3.3049753,19.309404,-0.88386536,0.7783661,0.3319397
-8.438432,-1.333899,1.2121495,0.38487244,1.4015503,0.641922
-0.33589244,-1.9913689,18.859383,0.9164276,1.047348,1.4770966
0.4297958,-0.7671623,7.4314146,0.3672943,-0.34655762,1.0168915
-1.677921,-3.6724246,8.595481,0.61016846,1.0430756,1.2054443
0.21103,0.39558905,9.414316,0.78060913,0.77516174,0.77827454
-0.027614534,-0.43185678,8.316967,0.8029785,0.63827515,0.7953186
0.4253897,-2.2143526,8.017607,0.85357666,0.027359009,1.0616455
1.1070564,-0.08850069,9.519976,0.9137726,0.16636658,1.0643005
-0.35456938,-1.2967023,11.223419,0.38752747,0.13867188,0.77401733
0.12942469,0.5704685,11.375991,0.14997864,0.015106201,0.4150238
0.6718671,-1.5255677,12.28886,-0.25375366,0.2350769,0.11035156
2.243695,-0.7782997,11.379654,-1.6236877,-0.29063416,-0.8276062
-0.5502378,-3.5169287,11.24909,-2.5472717,-0.26133728,-2.019638
-1.5663407,-7.397416,15.198623,-1.6343384,1.0350952,-2.228424
1.0057433,-1.473342,12.214903,-0.8385925,1.4372253,-1.3075104
0.2166872,-0.40613282,10.819497,-0.40556335,-0.3444214,-1.8529205
-0.88725674,-2.0350628,7.0681715,-0.33206177,-2.3348694,-1.6334839
-2.3097928,-2.750968,2.568252,-0.036453247,-1.9151611,-0.8766022
-1.7260268,-4.1451316,2.2790308,0.7230835,-0.46533203,0.062423706
1.2996043,-3.2884803,4.3497567,1.2946014,0.08381653,1.134613
11.019503,-0.35020518,14.855279,0.63041687,-1.339386,1.2832184
9.514515,3.0419774,14.480043,-0.33206177,0.42469788,-1.3309479
0.5606796,-4.8884163,10.803915,-0.24203491,0.5653076,-0.12187195
4.473823,-0.27225536,18.1732,-1.276413,0.67503357,0.63713074
-6.0624857,-0.6122054,-1.99932,0.32095337,0.28248596,0.93647766
1.7459245,-4.214076,21.030933,1.2482605,1.4228516,1.4632416
-0.15285695,-1.1966636,6.6376214,0.4093628,-0.7944946,0.84591675
-2.3482752,-5.4928374,8.733277,0.5462494,0.7006073,1.359909
0.3109386,-0.11178821,9.879315,1.0522614,0.52856445,0.85658264
-0.40401042,-1.3408676,8.193197,0.8583832,0.8838196,0.76815796
1.2469643,-1.8084427,8.373949,1.065033,0.1051178,1.1399384
-0.17988992,-0.25727755,9.613744,0.9494629,-0.16012573,1.2358093
0.5339758,-1.3526529,11.177276,0.5569,0.44706726,0.96629333
0.28816462,-0.1902163,12.045561,0.23999023,-0.105270386,0.8512573
0.83530354,-0.52182376,13.8301735,-0.27612305,-0.09515381,0.024597168
2.134725,-2.5298667,12.0357685,-1.6886749,-0.18569946,-1.1370697
-0.87425303,-5.673993,11.044903,-2.8833618,-0.06425476,-2.0782318
-2.7546198,-8.00721,14.603844,-1.7557831,0.79859924,-1.9317474
0.77233106,-1.0300789,13.356247,-0.71661377,1.9474945,-1.6830139
-0.21732336,-1.0480032,10.166635,-0.4337921,-0.8328552,-2.0755615
-2.1405702,-2.3912425,4.3493643,-0.7288666,-2.9079895,-1.5285492
-2.8090482,-2.5189466,1.2858855,-0.020462036,-2.041916,-0.80044556
-2.2975037,-4.012386,0.6577053,0.82588196,-0.6357727,0.09384155
2.9422672,-3.9747806,6.253276,1.654129,0.38528442,1.5974731
14.953519,6.0617113,29.569715,-0.26600647,-1.6861267,-0.30456543
6.708021,-0.93418086,4.7311125,-0.2766571,1.1341705,-1.1397247
1.5042586,-4.7306376,12.591289,0.09085083,-0.11433411,0.7606964
-0.9826997,-5.801597,8.466383,0.33106995,0.11097717,-0.8526459
-8.924343,-2.7508335,1.2253383,1.1577148,1.0809021,1.260315
0.011063576,-1.0194228,17.58287,0.82962036,0.011901856,1.3061218
-0.39399466,-2.2509172,6.6670275,0.45410156,-0.42378235,1.1612396
-1.4374273,-3.2030878,9.35705,1.0746307,0.7602539,0.95191956
0.44534004,-0.6988688,8.959942,0.9569092,0.9317627,0.914093
-0.3030267,-1.5172031,7.647064,1.0442657,-0.10473633,1.0350037
-0.61175376,-1.2308791,9.30716,0.8322754,-0.2112732,1.2235565
1.0649081,-1.8195753,10.385901,0.92814636,0.746933,0.96043396
-0.2517742,-1.2112709,12.295996,0.36036682,0.25798035,0.99186707
1.1697342,-0.20695513,12.732286,0.06687927,0.46836853,0.2035675
2.732097,-3.4362044,12.363476,-0.47480774,0.18341064,-0.34291077
0.91542184,-3.7922559,10.593709,-2.4338226,0.10404968,-1.3170929
-2.1100264,-6.9253054,13.885738,-2.6388855,-0.15800476,-2.19487
-0.32182682,-8.726047,13.369194,-1.4889374,2.654831,-1.6084442
-0.11733663,-1.1909248,11.828626,-0.43911743,0.6558533,-2.1852875
-0.42822614,-2.178469,8.138155,-0.7943878,-1.437912,-1.9892731
-2.0258946,-1.1418455,2.5317025,-0.6633606,-2.9564514,-1.252121
-3.162919,-3.5591803,0.26964605,0.29058838,-1.8736115,-0.51335144
-1.6353648,-3.885102,0.298475,1.2168427,-0.10473633,0.4262085
9.488656,-3.8779604,11.456052,1.8842316,-0.45628357,1.4733582
9.718357,2.1749609,17.239168,-0.27772522,0.19194031,-1.7037811
0.31043905,-2.8197055,6.735303,-0.36880493,0.66864014,-0.30828857
4.8469,-2.6377983,20.180992,-0.8668213,1.2481537,0.27388
-0.60690093,-5.706414,-4.317877,0.07594299,-0.48077393,0.4176941
-1.510825,-4.4119477,22.618008,1.348938,1.3488159,1.6944122
-0.55450016,-2.6572325,6.1951165,0.50097656,-0.62405396,0.9540405
-1.5046521,-2.9024043,10.27949,1.0415955,0.85079956,1.3838806
0.12026572,0.19289953,8.637904,1.0181732,1.0606537,0.9359436
-0.7969031,-1.4263985,7.9605713,1.0639648,0.3373413,0.98973083
