accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-3.6486564,-6.3232985,15.599995,-2.7583008,-1.2022247,-1.1956177
4.657289,-6.3761463,13.441182,-3.607315,-4.705887,0.43211365
0.72585154,1.0397351,9.679442,-3.9370117,-0.70474243,-0.4339447
-1.105025,-0.46538752,5.413725,-1.8000946,-0.92152405,-1.2989502
-0.5419029,-2.8946805,2.8851676,-1.1156616,-1.0243225,-0.9037323
-1.3562363,-3.0083044,3.843228,-0.3891449,-0.43203735,-0.8195801
1.25603,-1.6228848,0.7220954,1.7174072,-0.681839,0.13117981
11.794525,7.4491386,8.670077,3.4292908,-1.6107635,0.70588684
6.283309,-0.084214926,19.554554,-1.2568054,-0.5955658,-0.032348633
5.3295197,-8.237859,5.8228455,0.6862335,1.1083374,0.5242615
-6.8995037,-5.7737617,7.442202,0.9109955,-0.18862915,-0.12875366
1.9643992,-2.0404274,4.438818,1.3834534,0.46810913,0.23023987
-3.969986,-3.9726648,14.323372,3.449524,2.8218079,1.2992401
-0.30977392,1.3023382,7.4424176,0.36132812,-0.8917084,-0.47816467
-1.8751854,-1.4547678,4.417626,2.5717468,-0.27438354,-0.63368225
1.9191482,-3.0892828,6.1751466,1.8670807,2.647644,-0.16656494
0.78328264,-2.087271,9.213842,1.489975,-0.19555664,0.580719
1.9983625,0.84541345,11.228404,1.3616028,1.3938293,0.6030884
-1.8624493,1.8308805,14.231648,0.23083496,0.7381439,-0.050994873
2.3201652,2.8608103,14.329108,-0.2922058,0.63375854,-0.56018066
-2.7233663,0.6059404,13.354897,-2.4323273,-0.70422363,-0.8291626
-0.38265085,-7.393196,16.748184,-2.573471,-0.99183655,-0.4174347
5.9575915,-5.1854553,14.779492,-3.382019,1.4971466,0.6749878
0.56302595,2.3946433,10.168142,-1.8102112,-2.1694946,-0.50639343
-2.4203286,-0.9240194,6.418403,-1.6206055,-0.46505737,-1.6813812
-2.3952053,-2.4034796,0.7692811,-1.3654633,-1.5580292,-0.3812256
-0.6168227,-3.701992,-0.61978805,-0.81684875,-1.1404419,0.60787964
3.1565878,0.9184765,0.8175861,1.1118011,-0.7351074,0.8720703
18.31165,9.477737,23.848618,2.559494,-0.95188904,-0.9138489
5.1388826,-2.250367,14.766212,-0.97612,-2.0672302,-0.34233093
7.169322,-6.0177937,9.374544,0.023635864,2.8606873,1.3823242
-5.603486,-6.6804605,5.798957,1.1016846,0.003112793,0.003875732
-5.372287,-2.7769496,8.891858,3.403717,1.2063293,-0.72476196
-0.4812104,-0.65208435,14.535776,1.2385712,2.9475098,1.1900482
0.19125137,-0.9097076,7.714468,0.19300842,-3.2187805,-0.11277771
-0.2212744,-1.7125206,4.8764744,2.8087769,1.4513397,-0.83662415
1.2341002,-3.6523685,7.543637,1.3403015,2.2950287,-0.03553772
2.475246,-0.37782943,10.421375,1.6519012,-0.6525574,0.43423462
0.5972373,1.1353564,11.843089,0.94189453,1.7517548,0.5247803
-1.8178257,2.1985755,13.368781,0.14933777,0.64334106,-0.052581787
1.8530079,4.0112453,13.420252,-0.41685486,0.09579468,-0.7103882
-1.9522157,0.38194007,13.17831,-2.348175,-0.9566803,-1.0022736
-2.5091705,-6.1790543,17.033743,-2.4552307,-1.4168854,-0.9703064
5.5820436,-6.1386657,13.9502735,-3.0778809,0.85905457,0.38630676
0.040703475,-3.1564915,8.77104,-2.0706787,-1.1446991,-0.25445557
-2.4153204,-0.30034035,7.042424,-1.9598846,-0.5662689,-1.3884277
-2.1249566,-2.0137804,1.6470575,-1.1966248,-1.5777283,-0.83981323
-1.6813014,-3.1546054,0.1811229,-1.2291107,-1.2885132,0.3197174
0.93960756,-1.5416621,0.21582668,0.52111816,-1.0067444,1.0829926
25.122936,13.844563,26.8612,1.5517578,-1.0850525,-0.80200195
4.8643727,0.41895962,19.532015,-1.250946,-1.1830597,-0.4797516
8.07642,-10.685517,4.6806273,1.2145996,2.0532227,0.75328064
-4.985579,-4.5970554,10.092393,0.3560028,-0.50128174,0.88430786
-3.8555882,-0.9013623,10.234885,2.523819,2.0974274,-1.1508789
-1.908977,-1.4309828,10.288053,2.1126251,2.7546997,0.49336243
0.9641417,0.6965181,10.478338,-0.34654236,-0.5130005,0.38417053
0.33454102,-1.9980427,5.968258,2.5392609,-1.2773285,-0.3204956
1.3598833,-2.4868402,6.5714164,1.9411163,2.489975,-0.35246277
-0.253206,-1.1755848,8.97107,1.2992859,0.6385498,0.28616333
1.9971318,0.35098958,11.234036,1.250824,0.47875977,0.5876312
0.45772064,1.4546056,12.250182,0.8678589,1.0294952,0.32984924
-2.7073267,2.7806501,13.537906,0.089157104,0.2513275,-0.36097717
2.2893562,1.2447344,14.937074,-1.0922241,-0.38197327,-0.6464691
-2.0933585,-2.8232703,13.292173,-3.018753,-0.77345276,-0.79933167
-1.1190369,-7.169476,14.518566,-2.5692139,-0.62379456,-0.10159302
1.643428,-6.6068897,11.360734,-3.4848175,1.308075,-0.29440308
0.087978125,1.3320348,10.303872,-2.281067,-1.4003601,-0.6587219
-2.2038653,-1.8992465,5.830167,-1.5422974,-1.0738678,-1.3788452
-1.9731834,-2.8666449,1.6461304,-1.2866364,-1.383316,-0.4600525
0.49274778,-3.2053428,0.03292723,-0.43443298,-0.8986206,0.822525
2.6165094,-0.8495922,-0.13326156,1.5778656,-1.3375092,0.74742126
17.944466,5.3568144,36.90505,-0.36730957,1.8279114,-0.8057251
5.327601,-4.5449543,7.636323,0.74375916,0.5421448,-0.52130127
0.24101448,-8.214708,8.334028,-0.10206604,1.9349823,1.1682129
-5.0058613,-4.8543367,7.210194,1.0686646,-0.85494995,-0.0770874
-5.7805777,-3.3104658,10.494878,2.3714752,1.9211273,-0.26724243
0.4261321,-0.9337443,13.20884,1.5027618,2.8846588,0.5050812
-1.1815782,-1.2308133,6.3795733,1.5650787,-2.289856,-0.11117554
2.3016646,-1.1566768,6.2974815,2.36615,1.6739807,-0.4808197
-1.1249481,-2.34637,8.274599,1.2726593,1.5962219,0.24674988
3.0347273,0.35708344,9.81702,1.65242,-0.58277893,0.50668335
-0.3097268,0.2491543,11.849998,0.9109955,1.7378998,0.37831116
-1.6036499,1.6452105,13.352509,0.13389587,0.29127502,-0.109573364
1.4218478,2.6629677,14.07396,-0.7801056,-0.1300354,-0.7727051
-1.3060601,-0.5198209,13.573392,-2.825943,-1.4696045,-1.0283661
-1.2509613,-7.3091507,15.612598,-2.5356598,-0.9236603,-0.36576843
